speed,rpm
24.85715,1991.624
24.89396,1993.503
24.9307,1995.384
24.96741,1998.334
25.00413,2001.091
25.0409,2003.381
25.07771,2005.306
25.11453,2007.03
25.15134,2008.699
25.1881,2009.33
25.22476,2010.217
25.26129,2011.625
25.29769,2013.432
25.334,2015.45
25.37025,2017.518
25.40646,2020.611
25.44271,2023.435
25.47901,2025.723
25.51537,2027.599
25.55174,2029.253
25.5881,2030.846
25.62442,2031.407
25.66064,2032.229
25.69672,2033.58
25.73268,2035.338
25.76855,2037.317
25.80436,2039.358
25.84014,2041.358
25.87589,2043.277
25.91163,2045.117
25.94735,2046.902
25.98304,2048.659
26.0187,2050.408
26.07213,2053.041
26.08992,2053.922
26.12547,2055.688
26.17874,2058.34
26.21421,2060.104
26.23193,2060.984
26.26735,2062.74
26.32041,2065.362
26.35574,2067.105
26.39104,2068.843
26.42631,2070.577
26.46154,2072.308
26.49673,2074.037
26.53189,2075.762
26.56702,2077.484
26.60211,2079.203
26.63717,2080.919
26.67219,2082.632
26.70718,2084.343
26.74213,2086.051
26.77705,2087.756
26.81194,2089.458
26.84679,2091.158
26.88161,2092.855
26.91639,2094.549
26.95114,2096.24
26.98586,2097.927
27.02054,2099.612
27.05519,2101.293
27.08982,2102.655
27.12439,2103.579
27.15888,2104.781
27.19329,2106.251
27.22763,2107.908
27.2619,2109.657
27.29613,2107.156
27.33016,2098.749
27.36361,2094
27.39637,2092.779
27.42857,2094.077
27.46039,2096.719
27.49204,2098.331
27.5236,2097.76
27.55502,2097.931
27.58628,2098.808
27.6174,2100.294
27.64838,2102.277
27.67926,2103.992
27.71002,2104.028
27.74115,2097.613
27.7735,2081.786
27.80716,2057.843
27.84171,2029.334
27.87642,1997.743
27.91049,1965.055
27.94343,1938.033
27.97515,1916.819
28.00582,1900.521
28.03568,1887.87
28.06495,1864.224
28.09324,1822.352
28.11985,1790.121
28.14475,1767.325
28.16822,1752.203
28.19065,1742.547
28.21236,1695.222
28.23221,1588.781
28.2481,1515.199
28.25911,1475.947
28.26621,1460.777
28.27082,1459.65
28.27409,1440.328
28.27645,1382.942
28.27706,1341.671
28.27429,1325.837
28.26893,1325.223
28.26227,1332.55
28.25527,1338.92
28.25016,1329.352
28.2461,1317.619
28.24073,1316.75
28.23567,1309.461
28.23055,1306.499
28.22551,1301.353
28.22038,1297.273
28.21528,1293.184
28.21014,1289.74
28.205,1286.144
28.19985,1282.526
28.19469,1279.63
28.18951,1276.907
28.18435,1273.965
28.17913,1271.795
28.17392,1269.238
28.16871,1266.786
28.16348,1264.637
28.15824,1262.646
28.15299,1261.066
28.14773,1259.207
28.14247,1257.387
28.13718,1255.677
28.1319,1254.136
28.12659,1252.973
28.12129,1251.292
28.11595,1250.139
28.11061,1249.088
28.10526,1247.718
28.0999,1246.657
28.09451,1245.76
28.08913,1244.838
28.08373,1243.74
28.07833,1242.874
28.07291,1241.857
28.06749,1241.231
28.06207,1240.016
28.05662,1239.274
28.0512,1238.666
28.04577,1237.993
28.04031,1237.652
28.03486,1236.782
28.02943,1236.305
28.02398,1235.839
28.01855,1235.039
28.01312,1234.701
28.00768,1234.001
28.00228,1233.338
27.99686,1233.176
27.99145,1232.489
27.98604,1232.182
27.98065,1231.72
27.97525,1231.45
27.96986,1231.012
27.96462,1230.408
27.95937,1230.329
27.95413,1229.703
27.94889,1229.245
27.94364,1229.294
27.93841,1228.688
27.93317,1228.594
27.92795,1228.053
27.9227,1227.883
27.91749,1227.291
27.91227,1227.109
